id,age,age40,category,city,country,institutions,male,money,response
201057,2,0,1,Prague,Czech Republic,0,0,1,0
201010,3,0,3,Prague,Czech Republic,2,1,0,100
202031,4,1,2,Liberec,Czech Republic,1,0,0,0
202014,2,0,3,Liberec,Czech Republic,2,0,1,100
202025,2,0,3,Liberec,Czech Republic,2,0,1,0
202024,3,0,1,Liberec,Czech Republic,0,1,1,100
202018,2,0,1,Liberec,Czech Republic,0,1,0,100
202012,3,0,4,Liberec,Czech Republic,3,0,0,0
202002,3,0,3,Liberec,Czech Republic,2,0,0,100
202020,3,0,5,Liberec,Czech Republic,4,0,1,100
202038,2,0,1,Liberec,Czech Republic,0,0,0,100
202019,5,1,2,Liberec,Czech Republic,1,0,0,100
202026,3,0,1,Liberec,Czech Republic,0,0,0,100
202003,5,1,2,Liberec,Czech Republic,1,0,0,100
202010,6,1,5,Liberec,Czech Republic,4,0,1,0
202027,4,1,5,Liberec,Czech Republic,4,0,0,0
202036,4,1,1,Liberec,Czech Republic,0,0,1,100
202032,2,0,2,Liberec,Czech Republic,1,0,1,0
202006,6,1,2,Liberec,Czech Republic,1,1,0,100
202016,3,0,1,Liberec,Czech Republic,0,0,1,0
202023,3,0,1,Liberec,Czech Republic,0,0,1,100
202034,4,1,4,Liberec,Czech Republic,3,0,0,0
202001,2,0,2,Liberec,Czech Republic,1,0,1,100
202033,2,0,5,Liberec,Czech Republic,4,0,0,0
202009,4,1,5,Liberec,Czech Republic,4,0,1,0
202007,3,0,2,Liberec,Czech Republic,1,0,0,0
202029,2,0,5,Liberec,Czech Republic,4,1,1,100
202017,3,0,3,Liberec,Czech Republic,2,0,1,100
202013,3,0,1,Liberec,Czech Republic,0,0,1,100
202022,4,1,1,Liberec,Czech Republic,0,0,1,100
202004,5,1,2,Liberec,Czech Republic,1,1,1,100
202030,4,1,5,Liberec,Czech Republic,4,0,1,100
202035,2,0,3,Liberec,Czech Republic,2,0,1,100
202037,3,0,4,Liberec,Czech Republic,3,0,1,0
202021,2,0,3,Liberec,Czech Republic,2,0,0,100
202005,4,1,2,Liberec,Czech Republic,1,0,0,100
202011,2,0,5,Liberec,Czech Republic,4,0,0,0
202028,4,1,1,Liberec,Czech Republic,0,0,0,100
202008,3,0,5,Liberec,Czech Republic,4,0,0,100
202015,4,1,1,Liberec,Czech Republic,0,0,0,100
203019,5,1,1,Olomouc,Czech Republic,0,1,1,100
203018,5,1,2,Olomouc,Czech Republic,1,0,0,100
203012,2,0,4,Olomouc,Czech Republic,3,0,0,100
203021,6,1,3,Olomouc,Czech Republic,2,0,0,100
203010,3,0,5,Olomouc,Czech Republic,4,1,0,100
203011,4,1,5,Olomouc,Czech Republic,4,1,0,0
203036,5,1,4,Olomouc,Czech Republic,3,0,1,100
203026,2,0,1,Olomouc,Czech Republic,0,1,0,100
203014,4,1,4,Olomouc,Czech Republic,3,0,1,100
203023,5,1,4,Olomouc,Czech Republic,3,0,1,100
203030,4,1,3,Olomouc,Czech Republic,2,1,0,0
203037,2,0,2,Olomouc,Czech Republic,1,0,0,100
203028,2,0,3,Olomouc,Czech Republic,2,0,1,100
203002,4,1,3,Olomouc,Czech Republic,2,0,1,100
203031,2,0,5,Olomouc,Czech Republic,4,0,1,100
203027,2,0,3,Olomouc,Czech Republic,2,0,1,100
203015,4,1,3,Olomouc,Czech Republic,2,0,1,100
203004,6,1,2,Olomouc,Czech Republic,1,1,0,100
203032,6,1,1,Olomouc,Czech Republic,0,1,0,100
203022,3,0,2,Olomouc,Czech Republic,1,0,1,100
203001,4,1,5,Olomouc,Czech Republic,4,0,0,100
203005,4,1,2,Olomouc,Czech Republic,1,0,1,0
203017,5,1,1,Olomouc,Czech Republic,0,0,1,100
203009,5,1,2,Olomouc,Czech Republic,1,0,0,100
203035,4,1,5,Olomouc,Czech Republic,4,0,0,0
203024,2,0,1,Olomouc,Czech Republic,0,0,0,100
203003,3,0,3,Olomouc,Czech Republic,2,0,1,100
